Stock,MSE
DOC,0.1644908694938475
HSIC,1.1402467425072724
HSY,8.20515582083451
HES,6.417866648505696
HPE,0.1270393027809424
HLT,5.252676419216843
HOLX,1.1557366564080993
HD,21.231369229395963
HON,5.7688902067001875
HRL,0.44438771313559056
HST,0.10617349605299801
HWM,0.8793033001963384
HPQ,0.4637284941528406
HUBB,24.65863010253123
HUM,46.404554261896905
HBAN,0.06222111276822544
HII,11.467363746212769
IBM,4.405441400592529
IEX,9.090513118623234
IDXX,105.90005837144055
ITW,9.084013671363886
INCY,1.3148894860686744
IR,1.1500846777779858
PODD,28.7590509796267
INTC,0.8379810285413742
ICE,2.1065051346460097
IFF,3.4038042784729425
IP,0.4125050948144323
IPG,0.34131799057292617
INTU,91.96912827001152
ISRG,36.1106884318942
IVZ,0.14560853235604038
